Transaction_ID,Transaction_Date,Terminal_ID,Receipt_Number,Clerk,Sales_Total,Tax,Sales_Ex_Tax
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
,Apple_Pop_Top,326,1,3.60,3.27,3.60,0.00
,CASH,1,,50.00,,,
,CHANGE,9996,,39.90,,,
12383075,16052022_103222,212,8,RENSCHE,5.50,0.50,5.00
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Regular_Chips,11,1,5.50,5.00,5.50,0.00
,CASH,1,,20.00,,,
,CHANGE,9996,,14.50,,,
12383091,16052022_103633,211,13,RENSCHE,12.00,1.09,10.91
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Lamb_Sub,75,1,12.00,10.91,12.00,0.00
,EFTPOS,2,,12.00,,,
12383105,16052022_104010,211,14,RENSCHE,37.40,3.40,34.00
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,HD_Brisket_&_Egg_Burger,1226,1,10.50,9.55,10.50,0.00
,+_Cheese,352,1,1.50,1.36,1.50,0.00
,BBQ_Sauce,852,1,0.00,0.00,0.00,0.00
,HD_ROAST_LAMB_MEAL,1176,1,17.50,15.91,17.50,0.00
,+_100g_LambPork_Belly,1174,1,7.90,7.18,7.90,0.00
,UBER_EATS,15,,37.40,,,
12383135,16052022_104823,212,9,RENSCHE,15.90,1.45,14.45
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Regular_Pork_Meal,134,1,15.90,14.45,15.90,0.00
,EFTPOS,2,,15.90,,,
12383156,16052022_105450,212,10,RENSCHE,11.00,1.00,10.00
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Pork_Sandwich,41,1,9.00,8.18,9.00,0.00
,Tomato_&_Lettuce,435,1,2.00,1.82,2.00,0.00
,CASH,1,,50.00,,,
,CHANGE,9996,,39.00,,,
12383159,16052022_105545,212,11,RENSCHE,28.62,2.60,26.02
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Regular_Pork_Meal,134,1,14.31,13.01,15.90,1.59
,Regular_Pork_Meal,134,1,14.31,13.01,15.90,1.59
,DISCOUNT,0,,3.18,,,
,EFTPOS,2,,28.62,,,
12383180,16052022_110053,211,15,RENSCHE,35.90,3.27,32.63
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Beef_Sub,71,1,11.00,10.00,11.00,0.00
,Large_Beef_Sub,71,1,11.00,10.00,11.00,0.00
,Large_Chip_Meal,501,1,4.10,3.73,4.10,0.00
,600ML_Pepsi,276,1,4.90,4.45,4.90,0.00
,600ML_Sunkist,279,1,4.90,4.45,4.90,0.00
,CASH,1,,20.00,,,
,CASH,1,,20.00,,,
,CHANGE,9996,,4.10,,,
12383186,16052022_110159,211,16,RENSCHE,4.10,0.37,3.73
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Chip_Meal,501,1,4.10,3.73,4.10,0.00
,CASH,1,,4.10,,,
12383192,16052022_110326,212,12,ROB,10.00,0.91,9.09
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Pork_Belly_Roll,758,1,10.00,9.09,10.00,0.00
,CASH,1,,10.00,,,
12383203,16052022_110836,212,13,ROB,20.80,1.90,18.90
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
