Transaction ID,Transaction Date,Terminal ID,,,Receipt Number,Clerk,Sales Total,Tax,Sales Ex Tax
,Regular Chips,11,,,1,5.5,5,5.5,0
,Gravy PC,336,,,1,1,0.91,1,0
,Apple Pop Top,326,,,1,3.6,3.27,3.6,0
,CASH,1,,,,50,,,
,CHANGE,9996,,,,39.9,,,
12383075,16/05/2022 10:32:22,212,,,8,RENSCHE,5.5,0.5,5
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Regular Chips,11,,,1,5.5,5,5.5,0
,CASH,1,,,,20,,,
,CHANGE,9996,,,,14.5,,,
12383091,16/05/2022 10:36:33,211,,,13,RENSCHE,12,1.09,10.91
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Lamb Sub,75,,,1,12,10.91,12,0
,EFTPOS,2,,,,12,,,
12383105,16/05/2022 10:40:10,211,,,14,RENSCHE,37.4,3.4,34
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,HD Brisket & Egg Burger,1226,,,1,10.5,9.55,10.5,0
,+ Cheese,352,,,1,1.5,1.36,1.5,0
,BBQ Sauce,852,,,1,0,0,0,0
,HD ROAST LAMB MEAL,1176,,,1,17.5,15.91,17.5,0
,+ 100g Lamb/Pork Belly,1174,,,1,7.9,7.18,7.9,0
,UBER EATS,15,,,,37.4,,,
12383135,16/05/2022 10:48:23,212,,,9,RENSCHE,15.9,1.45,14.45
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Regular Pork Meal,134,,,1,15.9,14.45,15.9,0
,EFTPOS,2,,,,15.9,,,
12383156,16/05/2022 10:54:50,212,,,10,RENSCHE,11,1,10
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Pork Sandwich,41,,,1,9,8.18,9,0
,Tomato & Lettuce,435,,,1,2,1.82,2,0
,CASH,1,,,,50,,,
,CHANGE,9996,,,,39,,,
12383159,16/05/2022 10:55:45,212,,,11,RENSCHE,28.62,2.6,26.02
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Regular Pork Meal,134,,,1,14.31,13.01,15.9,1.59
,Regular Pork Meal,134,,,1,14.31,13.01,15.9,1.59
,DISCOUNT,0,,,,3.18,,,
,EFTPOS,2,,,,28.62,,,
12383180,16/05/2022 11:00:53,211,,,15,RENSCHE,35.9,3.27,32.63
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Beef Sub,71,,,1,11,10,11,0
,Large Beef Sub,71,,,1,11,10,11,0
,Large Chip Meal,501,,,1,4.1,3.73,4.1,0
,600ML Pepsi,276,,,1,4.9,4.45,4.9,0
,600ML Sunkist,279,,,1,4.9,4.45,4.9,0
,CASH,1,,,,20,,,
,CASH,1,,,,20,,,
,CHANGE,9996,,,,4.1,,,
12383186,16/05/2022 11:01:59,211,,,16,RENSCHE,4.1,0.37,3.73
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Chip Meal,501,,,1,4.1,3.73,4.1,0
,CASH,1,,,,4.1,,,
12383192,16/05/2022 11:03:26,212,,,12,ROB,10,0.91,9.09
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Pork Belly Roll,758,,,1,10,9.09,10,0
,CASH,1,,,,10,,,
12383203,16/05/2022 11:08:36,212,,,13,ROB,20.8,1.9,18.9
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Regular Pork Meal,134,,,1,15.9,14.45,15.9,0
